Name,Symbol,Price Usd,Volume24h,Volume30d,MarketCap,Dominance,YtdPriceChangePercentage,cmcRank,marketPairCount,circulatingSupply,totalSupply
Lido Staked ETH,stETH,1670.584982,10815825.24,1466207283,5826546017,0,41.4657,203,34,3487728,5123627.422
Bitcoin BEP2,BTCB,24618.81091,14936279.3,420419484.1,1304589353,0,48.2375,204,341,52991.56639,60501
T-mac DAO,TMG,1.290331119,1548.741155,46953.43333,1290331119,0,426.5294,205,4,1000000000,1000000000
Wrapped BNB,WBNB,322.5974601,171394190.5,1997099418,1213637581,0,31.8178,206,10108,3762080.397,3762080.397
Frax,FRAX,0.998534614,23331975.48,585979755.2,1027844734,0,-0.1091,207,306,1029353133,1029353133
Huobi BTC,HBTC,24595.09646,95732.93878,2930262.408,958458538,0,48.2477,208,33,38969.497,38969.497
BitTorrent,BTTOLD,0.000723731,173268.3174,4883307.304,716493761,0,11.9486,209,180,9.9E+11,9.9E+11
Bitget Token,BGB,0.478766843,24216955.08,640515328.2,670273580.6,0,163.9502,210,4,1400000000,2000000000
TNC Coin,TNC,0.111616109,129213.9561,9106231.95,653086299.1,0,21405.4815,211,22,5851183164,1.9672E+11
Radix,XRD,0.054220465,708822.5622,18101233.89,547832908.1,0,58.4453,212,12,10103803210,12123620561
FTX Token,FTT,1.651401003,14559461.81,422448495,543137704.4,0,92.4269,213,168,328895103.8,328895103.8
Baby Doge Coin,BabyDoge,4.13E-09,41621176.78,757313162.1,475856140.6,0,335.1961,214,105,1.15E+17,2.32E+17
FLOKI,FLOKI,5.12E-05,211015716.5,698243895.8,456946394.8,0,540.1335,215,79,8.91745E+12,9.94236E+12
Tether Gold,XAUT,1837.726677,1541675.026,68354879.52,453043731.4,0,1.129,216,28,246524,246524
WEMIX,WEMIX,1.833884292,31148307.03,207054571.7,448480446.4,0,406.3431,217,37,244552204.6,959434406.5
NXM,NXM,53.09224032,88651.73535,2487204.348,350093834.5,0,40.6119,218,1,6594067.841,6784822.421
DeFiChain,DFI,0.618418814,3607072.098,60328727.4,315850087.9,0,45.7643,219,44,510738160.9,784881510.4
USDJ,USDJ,1.125546538,1008164.024,65421788.7,307558683.4,0,5.0027,220,18,273252747,273252747
GensoKishi Metaverse,MV,0.176015731,2004204.531,48787426.21,300865960.4,0,31.8956,221,21,1709312901,2000000000
LINK,LN,42.4341756,985820.5992,46711869.89,285771173.3,0,74.834,222,8,6734458,6734458
Artificial Liquid Intelligence,ALI,0.063390541,4310355.041,126731107.2,227455636,0,592.9671,224,27,3588163660,10000000000
Liquity USD,LUSD,1.002226978,5183251.146,159935430.8,227530773.5,0,-2.0865,223,74,227025193.3,227025193.3
Edgecoin,EDGT,1.000056736,28061623.95,863264166.7,210011914.6,0,-0.0219,225,6,210000000,1000000000
Anyswap,ANY,10.75633225,21137.33716,652583.735,200490721.1,0,138.3854,226,83,18639320.22,100000000
Bitgert,BRISE,4.90E-07,6174065.654,133632058.7,193811074.2,0,60.7198,227,47,3.95688E+14,1E+15
Wrapped Everscale,WEVER,0.101135371,208180.4078,5694850.794,175555923.2,0,305.6122,228,9,1735850888,2075690257
LUKSO,LYXe,11.3670462,1710850.733,39484732.45,175119755.6,0,44.5598,229,32,15405915.71,100000000
Telcoin,TEL,0.002627975,2162544.916,38608621.33,172509986,0,38.2638,230,115,65643700558,1E+11
Ronin,RON,0.869666499,5526064.459,59725420.07,150661127.1,0,217.8159,231,18,173240118.3,1000000000
Beldex,BDX,0.036567982,2569095.331,76357608.91,146975947.1,0,-13.5635,232,21,4019252314,9913712352
Dejitaru Tsuka,TSUKA,0.140384781,3692833.877,65487714.54,140384781.5,0,164.2883,233,23,1000000000,1000000000
VVS Finance,VVS,4.19E-06,915185.0971,18118030.47,138038742.4,0,41.4066,234,49,3.29309E+13,7.02314E+13
STASIS EURO,EURS,1.073317778,93256.74949,3068387.166,133226578.1,0,0.6969,235,36,124125940,124125940
Neutrino Index,XTN,0.192248944,172157.8343,8989546.051,130780476.5,0.0117,-57.5062,236,81,680266294.4,623814462.6
Pundi X (New),PUNDIX,0.500394337,15057297.67,1676577308,129347751.4,0.0116,57.0181,237,54,258491637.2,258491637.2
Ribbon Finance,RBN,0.240811649,853975.7299,45075148.25,128047176.5,0.0115,26.526,238,62,531731654.9,1000000000
Celsius,CEL,0.533200023,14003773.69,90745221.09,127362034.2,0.0114,10.3012,239,82,238863519.8,695658160
Axelar,AXL,0.775412537,3315460.56,27231601.16,127067028.6,0.0114,53.881,240,23,163870227.2,1040215594
Galxe,GAL,2.27768359,36305697.57,659041233.5,123603813.1,0.0111,119.0813,241,97,54267332.7,200000000
Locus Chain,LOCUS,0.059378962,464101.2047,11231927.72,123571348.7,0,129.4385,242,6,2081062787,7000000000
Merit Circle,MC,0.34702725,7797442.44,84464143.69,123467019.6,0.0111,27.9899,243,54,355784796.5,669811161
Numeraire,NMR,20.92480274,16301199.72,1143394854,123215777.2,0.0111,68.4428,244,92,5888503.644,10931079.86
Creditcoin,CTC,0.585243622,11364845.75,308636804.9,121294245,0,28.8039,246,18,207254279,599999997
Alchemy Pay,ACH,0.023923212,187432001.7,1445331536,121581495.4,0.0109,204.2627,245,92,5082155932,10000000000
Gitcoin,GTC,2.018044257,8535301.054,188536733.3,120907775.8,0.0109,53.5708,247,81,59913342,100000000
MX TOKEN,MX,1.20409027,9570589.006,202218909.3,120409027,0.0108,46.996,248,14,100000000,450000000
Energy Web Token,EWT,3.98201388,3604719.36,56808603.24,119707850.8,0.0107,31.7213,249,26,30062138,48638535.44
Aragon,ANT,2.962113463,12408765.45,270986039.9,118572963.3,0.0106,34.6679,250,119,40029851.93,45094973
Nano,XNO,0.885195187,3582784.911,48995692.55,117950751.4,0.0106,38.5206,251,59,133248297.2,133248297.2
Ontology Gas,ONG,0.31967382,11014507.08,219834908.7,117606091.7,0.0106,46.8018,252,59,367894036,1000000000
Civic,CVC,0.117326273,18167608.58,330531136.1,117326272.9,0.0105,50.0075,254,107,1000000000,1000000000
Status,SNT,0.029727435,10507028.64,1707981494,117328780,0.0105,57.5195,253,93,3946818178,6804974035
Kaspa,KAS,0.007000976,2698022.981,74005544.91,116797551.6,0,34.8982,255,5,16683039100,16683039100
Tribe,TRIBE,0.257192242,459988.2655,10955892.1,116623467.7,0.0105,27.6827,256,66,453448622,1000000000
COTI,COTI,0.098964363,19548320.74,344234373.1,116408932.7,0.0104,91.4972,257,105,1176271233,2000000000
Dusk Network,DUSK,0.277598241,71518695,2709961433,114888032,0.0103,238.5082,258,70,413864409.3,500000000
Gifto,GFT,0.114616992,121328731.8,6771186885,114533497.4,0,454.5849,259,47,999271531.6,1000000000
Dent,DENT,0.001154278,37391336.81,145306776.5,114282545.3,0.0103,67.4363,260,68,99007791203,1E+11
Polymesh,POLYX,0.194057055,11517812.58,140228049.7,113075327.6,0,61.4591,261,18,582691144,715763212.1
Cartesi,CTSI,0.171540271,10496407.78,476646875,112205806.2,0.0101,63.2434,262,98,654107666.3,1000000000
Vulcan Forged PYR,PYR,4.074266974,12064940.51,192872290.1,110747649.7,0.0099,47.5973,263,81,27182227,50000000
Request,REQ,0.110203439,4332492.187,59338119.93,110184738.8,0.0099,29.0813,265,96,999830316,999877117
NYM,NYM,0.299012379,2317004.404,34091439.21,110227761.9,0,66.6921,264,43,368639460.2,1000000000
Verasity,VRA,0.010582675,38176224.02,854567903.3,109457606.2,0.0098,377.146,266,78,10343094362,1.10306E+11
MVL,MVL,0.004838762,26893186.16,102340553.9,109128403.4,0,58.9869,267,11,22552958863,27802958863
Highstreet,HIGH,3.509315295,117802977.2,10263385576,109119456.1,0.0098,308.8638,268,65,31094229.76,100000000
Augur,REP,9.880583633,65120417.8,1937322161,108686420,0.0098,126.3983,269,99,11000000,11000000
Saitama,SAITAMA,0.002804399,1907083.976,50617282.96,108265931.5,0,167.5766,270,25,38605752722,44812964363
DeXe,DEXE,2.935803521,2182883.758,37802421.47,107077382.5,0.0096,22.8864,271,38,36472938.92,96504599.34
NuCypher,NU,0.151207695,5695586.087,2601140886,106299009.3,0.0095,79.3371,272,89,703000000,1380688921
Ardor,ARDR,0.105734756,7973645.529,69273033.53,105628968.3,0.0095,52.5411,273,29,998999495,998999495
Morpheus.Network,MNW,2.229110278,1014783.778,25131704.9,105169453.8,0,128.7812,274,27,47180013.86,47897218
Orbs,ORBS,0.03633761,9524930.47,164960785.6,104534838.5,0.0094,72.0761,275,53,2876767039,10000000000
Venus USDC,vUSDC,0.021883933,0,0,104408573.4,0,0.4735,276,1,4771015133,4771015133
Volt Inu V2,VOLT,1.88E-06,15479045.05,456633834.8,102876208.6,0,141.743,277,45,5.47663E+13,6.9E+13
AVINOC,AVINOC,0.263152954,497303.7227,13986066.89,102430832.7,0,25.5249,278,14,389244472.2,1000000000
Ergo,ERG,1.743282339,1077924.318,16192897.03,102223332.4,0,48.3593,279,19,58638426,59756145
Alpha Venture DAO,ALPHA,0.134693446,5567727.901,71929993.62,101020084.4,0.0091,108.4823,280,107,750000000,1000000000
dKargo,DKA,0.040894989,12899817.97,354644312.3,100789109.5,0,57.2183,281,16,2464583333,5000000000
Steem,STEEM,0.235458859,28316449.2,758392140.6,100556850.6,0.009,59.8834,282,38,427067603.7,409190981
LCX,LCX,0.129211401,2087396.672,33418091.72,99697546.82,0.0089,299.2972,283,76,771584751,950000000
Centrifuge,CFG,0.275875315,691197.3934,14046115.63,99387680.51,0.0089,90.5141,284,15,360263043,430011123
IQ,IQ,0.007857064,151642354.1,1578657817,98378417.41,0.0088,79.1911,285,48,12521015157,13098383539
Radicle,RAD,2.008465847,7780507.393,128946725.8,98071602.92,0.0088,35.3674,286,69,48829111.57,99998580
Humanscape,HUM,0.107351436,8425280.265,218008010.6,98055797.58,0,61.2458,287,8,913409274,1084734273
CEEK VR,CEEK,0.121537436,10675174.59,161749369.8,97924872.84,0.0088,60.8852,288,86,805717779.2,1000000000
Powerledger,POWR,0.203559268,10767289.02,617865480.5,97860645.41,0.0088,65.3628,289,78,480747678.1,999506123
Phala Network,PHA,0.191268701,13429856.36,263247386.8,96134909.63,0.0086,79.3337,290,65,502617047.9,1000000000
MOBOX,MBOX,0.544473355,10266475.28,143818614.3,95989767.71,0.0086,47.2395,291,94,176298375,369987868
Prom,PROM,5.165010527,2742772.281,51198434.52,94261442.11,0.0085,34.6473,292,37,18250000,19250000
Ren,REN,0.094216006,19912810.91,437000164.5,94125323.04,0.0084,52.9317,293,215,999037500.4,999999632.8
Serum,SRM,0.35694596,34035157.31,3498168484,93964121.08,0.0084,170.5705,294,174,263244669,1092844982
USDX [Kava],USDX,0.840387486,272535.5429,7922691.488,93759732.49,0,4.545,295,13,111567264,107526703
Spell Token,SPELL,0.000870402,16358696.4,920820152.2,93486024.9,0.0084,63.7756,296,275,1.07406E+11,1.96009E+11
WINkLink,WIN,9.59E-05,13345078.63,233612834.8,92240336.11,0.0083,28.8562,297,95,9.61737E+11,9.93702E+11
renBTC,RENBTC,25763.79174,15550.70411,493046.5453,92226608,0.0083,39.1271,298,103,3579.698552,3579.698552
NKN,NKN,0.11999373,9696395.585,139516310.8,90575030.76,0.0081,48.7943,299,60,754831361.7,754831361.7
Venus,XVS,6.138216707,4025777.293,52299623.38,89947777.18,0.0081,58.7656,300,105,14653731.12,30000000
STP,STPT,0.04835029,21630206.5,1249234221,89182283.91,0.008,85.6388,301,48,1844503611,1942420283
JOE,JOE,0.264747037,6303018.94,102527197.7,88566854.96,0.0079,97.8556,302,81,334533885,464573155
Stratis,STRAX,0.60286785,17612577.59,2043576424,88120748.4,0.0079,54.7619,303,31,146169261.4,146169261.4
Pirate Chain,ARRR,0.445704421,177113.1687,4026433.156,87073826.79,0,45.2759,304,17,195362268.4,192088450.1
Marlin,POND,0.010755752,7187568.134,119146656.6,86985807.92,0.0078,41.8014,305,68,8087375977,8087375977
Function X,FX,0.209783361,895339.6202,18206571.78,85700773.71,0.0077,34.2504,306,26,408520357,408520357
Mdex,MDX,0.090219698,6809490.128,74584478.46,85664635.8,0.0077,30.8569,307,134,949511449.6,1060000000
RSK Smart Bitcoin,RBTC,24592.40107,85050.65058,2320837.428,85321939.8,0,48.0019,308,9,3469.443247,20999763.56
VeThor Token,VTHO,0.001419393,2766290.935,29628037.28,84060978.51,0,56.7294,309,49,59223189668,59223189668
MiL.k,MLK,0.315664418,9162491.821,903514573.6,83966322.88,0.0075,55.0665,310,8,265998693.8,986245419
ABBC Coin,ABBC,0.076382196,14768148.42,499561558.3,83631854.08,0.0075,-10.6971,311,77,1094912929,1500000000
Bifrost,BFC,0.076785323,1864884.207,82829659.21,83578323.97,0,49.9585,312,14,1088467441,2368584074
Covalent,CQT,0.16413636,2090067.807,33383226.43,83031666.54,0.0075,53.8241,313,40,505870038.1,1000000000
XYO,XYO,0.006371339,2203103.051,38772503.14,81838706.74,0.0073,104.8639,314,57,12844821266,13960974963
MyNeighborAlice,ALICE,1.964171925,45673796.18,657260667.2,81450590.29,0.0073,84.8086,315,148,41468157.27,100000000
Acala Token,ACA,0.13271888,3913365.812,86130577.17,81364783.86,0.0073,17.2915,316,40,613061111,1000000000
Persistence,XPRT,0.543339261,307448.8344,8908998.855,80751867.64,0.0072,7.1699,319,21,148621447.7,165121447.7
Biswap,BSW,0.216506361,10698781.09,147200903,80761995.39,0.0072,32.3842,318,114,373023661,434664671
Decentralized Social,DESO,9.092248843,730466.1281,7567518.828,80780412.17,0,33.7051,317,12,8884536,10808492
FUNToken,FUN,0.00728552,2122455.921,184695478.3,79869761.16,0.0072,20.8808,320,45,10962808529,10977277070
Ultra,UOS,0.262104719,1153542.499,21427298.7,79625730.31,0.0071,44.3046,321,44,303793577.8,1000000000
Alien Worlds,TLM,0.023133339,14443692.25,415110930.6,79176097.28,0.0071,91.5851,322,105,3422597017,5911410473
Veritaseum,VERI,36.70575739,14959.91941,492712.8822,78904400.7,0,-8.2182,323,4,2149646.44,100000000
RACA,RACA,0.000232496,8607144.523,117858712,76939331.25,0.0069,41.8782,324,141,3.30927E+11,4.31418E+11
MXC,MXC,0.029092868,2304792.903,82627755.03,76867209.05,0.0069,-8.8668,325,35,2642132371,2664965800
Reef,REEF,0.003514143,22235321.69,377052468.7,75482331.18,0.0068,53.336,326,131,21479586428,21479604628
Shentu,CTK,0.83642133,4789924.938,69676457.81,75177221.66,0.0067,13.1692,327,43,89879608.48,105635268.7
Origin Protocol,OGN,0.147420098,23897835.4,537434598,75055198.97,0.0067,72.0352,328,118,509124602,1000000000
Mines of Dalarnia,DAR,0.240558041,32311427.02,3213425566,74691168.86,0.0067,104.7357,329,92,310491258,800000000
StormX,STMX,0.007459056,154633515.1,1056048552,74590562.14,0.0067,107.7037,330,55,10000000000,12500000000
Concordium,CCD,0.012226967,1082835.449,23550452.5,74399804.06,0,77.6139,331,10,6084894564,11568824325
QuarkChain,QKC,0.011476136,11316320.58,118063208.7,73446197.14,0.0066,44.3121,332,35,6399906497,10000000000
WazirX,WRX,0.192246863,2393629.309,36850331.16,73410785.94,0.0066,41.3514,333,73,381856872.3,962646669
Bancor,BNT,0.470037548,7906527.754,112275017.4,73317062.08,0.0066,27.2432,334,331,155981287.7,155981287.7
Metal DAO,MTL,1.08831422,16283174.64,1121056496,72469633.69,0.0065,57.4523,335,71,66588888,66588888
Liquity,LQTY,0.787490944,1487405.541,225164103,71513985.13,0.0064,35.9466,337,33,90812454.03,100000000
Orbit Chain,ORC,0.113294367,760441.5783,22942674.56,71537637.03,0,40.9455,336,20,631431544.9,952770538.9
Uquid Coin,UQC,7.131895528,3395534.415,97593468.86,71318955.28,0,41.7574,338,36,10000000,40000000
NEST Protocol,NEST,0.024411109,1816171.678,38925485.03,71078900.02,0.0064,14.5907,339,48,2911743948,9978035000
inSure DeFi,SURE,0.002615553,1357123.107,38173201.53,70070825.59,0,46.4115,340,26,26790063175,88000000000
PlatON,LAT,0.020055499,2357882.073,46061461.21,69678717.45,0,101.112,341,26,3474294948,10250000000
Orchid,OXT,0.10076452,4294769.447,515091294.9,69597054.46,0.0062,50.4667,342,82,690690083.8,1000000000
Constellation,DAG,0.054585322,705296.3172,19902459.52,69154795.08,0,43.7975,343,12,1266911931,3711998690
RSS3,RSS3,0.19605452,4156114.785,111033300.3,68660895.35,0.0062,88.095,344,39,350213273.9,1000000000
WhiteCoin,XWC,0.089416731,717739.5733,20730371.69,68296837.11,0,67.9556,345,14,763803783.4,971271550
World Mobile Token,WMT,0.194365445,542707.5904,14439733.94,68283774.03,0,29.1803,346,15,351316428.1,2000000000
Coin98,C98,0.311616052,43287461.63,431204874.2,67603371.11,0.0061,95.4161,347,116,216944443.6,1000000000
Bloktopia,BLOK,0.003827792,3481344.86,57051567.63,67126609.5,0.006,107.0571,348,48,17536640676,2E+11
